uuid,item_id,timestamp,price,url,color,title,is_new
H085078CKAA1715922367,H085078CKAA,1715922367,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H083618CKAC1715922367,H083618CKAC,1715922367,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H078971CCAA1715922367,H078971CCAA,1715922367,4870,/au/en/product/herbag-zip-31-bag-H078971CCAA/,Black,Herbag Zip 31 bag,1
H078595CKAA1715922367,H078595CKAA,1715922367,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H083894CAAG1715922367,H083894CAAG,1715922367,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H073611CK8U1715922367,H073611CK8U,1715922367,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,0
H083189CKAR1715922967,H083189CKAR,1715922967,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,1
H082924CAAD1715922967,H082924CAAD,1715922967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H083894CAAG1715922967,H083894CAAG,1715922967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H083618CKAC1715922967,H083618CKAC,1715922967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H085078CKAA1715922967,H085078CKAA,1715922967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H083618CKAB1715922967,H083618CKAB,1715922967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H078595CKAA1715922967,H078595CKAA,1715922967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H073611CK8U1715922967,H073611CK8U,1715922967,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
