uuid,item_id,timestamp,price,url,color,title,is_new,date
H056289CC0W1716165367,H056289CC0W,1716165367,5270,/au/en/product/picotin-lock-18-bag-H056289CC0W/,Grey,Picotin Lock 18 bag,1,2024-05-20
H073611CK8U1716165367,H073611CK8U,1716165367,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1,2024-05-20
H083189CKAR1716165367,H083189CKAR,1716165367,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,1,2024-05-20
H079091CKAU1716172567,H079091CKAU,1716172567,4870,/au/en/product/herbag-zip-31-bag-H079091CKAU/,Multi-colored,Herbag Zip 31 bag,1,2024-05-20
H079092CCAG1716172567,H079092CCAG,1716172567,4870,/au/en/product/herbag-zip-31-bag-H079092CCAG/,Multi-colored,Herbag Zip 31 bag,1,2024-05-20
H083618CKAC1716249967,H083618CKAC,1716249967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-21
H085078CKAA1716249967,H085078CKAA,1716249967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-21
H083618CKAB1716249967,H083618CKAB,1716249967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-21
H078595CKAA1716249967,H078595CKAA,1716249967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-21
H082924CAAD1716249967,H082924CAAD,1716249967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-21
H083894CAAG1716249967,H083894CAAG,1716249967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-21
H073611CK8U1716251167,H073611CK8U,1716251167,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1,2024-05-21
H056289CC0W1716262567,H056289CC0W,1716262567,5270,/au/en/product/picotin-lock-18-bag-H056289CC0W/,Grey,Picotin Lock 18 bag,1,2024-05-21
H079091CKAU1716262567,H079091CKAU,1716262567,4870,/au/en/product/herbag-zip-31-bag-H079091CKAU/,Multi-colored,Herbag Zip 31 bag,1,2024-05-21
